year,election,locality,precinct,district,district_type,provisional_ballots,absentee_ballots,in_person_ballots,in_person_curbside_ballots,TotalVoteTurnout,ActiveRegisteredVoters,InactiveRegisteredVoters,TotalRegisteredVoters
2020,general,ACCOMACK COUNTY,##Central Absentee,00,Local,0,0,0,0,0,0,0,0
2020,general,ACCOMACK COUNTY,##Central Absentee,02,Congressional,0,0,0,0,0,0,0,0
2020,general,ACCOMACK COUNTY,101 - CHINCOTEAGUE,02,Congressional,6,0,1333,0,1339,2662,86,2748
2020,general,ACCOMACK COUNTY,201 - ATLANTIC,02,Congressional,0,0,538,0,538,1127,34,1161
2020,general,ACCOMACK COUNTY,202 - GREENBACKVILLE,02,Congressional,2,0,881,0,883,1823,83,1906
2020,general,ACCOMACK COUNTY,301 - NEW CHURCH,02,Congressional,1,0,744,0,745,2553,213,2766
2020,general,ACCOMACK COUNTY,401 - BLOXOM,02,Congressional,0,0,397,0,397,855,22,877
2020,general,ACCOMACK COUNTY,402 - PARKSLEY,02,Congressional,1,0,509,0,510,1177,25,1202
2020,general,ACCOMACK COUNTY,403 - SAXIS,02,Congressional,0,0,190,0,190,314,12,326
2020,general,ACCOMACK COUNTY,501 - MAPPSVILLE,02,Congressional,3,0,296,0,299,1159,35,1194
2020,general,ACCOMACK COUNTY,502 - RUE,02,Congressional,2,0,195,0,197,1050,35,1085
2020,general,ACCOMACK COUNTY,601 - ACCOMAC,02,Congressional,3,0,504,0,507,1935,55,1990
2020,general,ACCOMACK COUNTY,602 - TANGIER,02,Congressional,1,0,248,0,249,338,5,343
2020,general,ACCOMACK COUNTY,701 - NANDUA,02,Congressional,0,0,662,0,662,2844,110,2954
2020,general,ACCOMACK COUNTY,801 - BOBTOWN,02,Congressional,2,0,306,0,308,910,19,929
2020,general,ACCOMACK COUNTY,802 - MELFA,02,Congressional,4,0,451,0,455,1376,49,1425
2020,general,ACCOMACK COUNTY,803 - WACHAPREAGUE,02,Congressional,0,0,360,0,360,789,17,806
2020,general,ACCOMACK COUNTY,901 - PAINTER,02,Congressional,4,0,825,0,829,2842,70,2912
2020,general,ALLEGHANY COUNTY,##Central Absentee,00,Local,0,2696,0,11,2696,0,0,0
2020,general,ALLEGHANY COUNTY,##Central Absentee,09,Congressional,1,2696,0,11,2697,0,0,0
2020,general,ALLEGHANY COUNTY,101 - ARRITT,09,Congressional,1,0,612,0,613,1108,19,1127
2020,general,ALLEGHANY COUNTY,103 - DAMERON,09,Congressional,0,0,243,1,243,374,13,387
2020,general,ALLEGHANY COUNTY,201 - HUMPBACK BRIDGE,09,Congressional,1,0,336,1,337,612,14,626
2020,general,ALLEGHANY COUNTY,202 - DOLLY ANN,09,Congressional,0,0,415,1,415,864,15,879
2020,general,ALLEGHANY COUNTY,301 - CALLAGHAN,09,Congressional,0,0,379,0,379,618,11,629
2020,general,ALLEGHANY COUNTY,302 - GRIFFITH,09,Congressional,0,0,537,0,537,1054,16,1070
2020,general,ALLEGHANY COUNTY,401 - LOW MOOR,09,Congressional,0,0,360,3,360,830,15,845
2020,general,ALLEGHANY COUNTY,402 - JACKSON HEIGHTS,09,Congressional,0,0,410,0,410,908,17,925
2020,general,ALLEGHANY COUNTY,501 - IRON GATE,09,Congressional,0,0,231,1,231,415,5,420
2020,general,ALLEGHANY COUNTY,502 - PETERS SWITCH,09,Congressional,1,0,713,2,714,1182,13,1195
2020,general,ALLEGHANY COUNTY,601 - DISTRICT 1,09,Congressional,0,0,726,2,726,1524,33,1557
2020,general,ALLEGHANY COUNTY,701 - DISTRICT 2,09,Congressional,4,0,512,0,516,1271,30,1301
2020,general,AMHERST COUNTY,##Central Absentee,00,Local,0,8589,0,0,8589,0,0,0
2020,general,AMHERST COUNTY,##Central Absentee,06,Congressional,0,7847,0,0,7847,0,0,0
2020,general,AMHERST COUNTY,101 - WRIGHT SHOP,06,Congressional,0,0,621,0,621,1619,40,1659
2020,general,AMHERST COUNTY,102 - NEW GLASGOW,06,Congressional,0,0,712,0,712,1959,52,2011
2020,general,AMHERST COUNTY,103 - COOLWELL,06,Congressional,0,0,475,0,475,954,23,977
2020,general,AMHERST COUNTY,201 - COURT HOUSE,06,Congressional,0,0,884,0,884,3089,100,3189
2020,general,AMHERST COUNTY,202 - TEMPERANCE,06,Congressional,0,0,607,0,607,1162,33,1195
2020,general,AMHERST COUNTY,301 - MONROE,06,Congressional,0,0,527,0,527,1214,45,1259
2020,general,AMHERST COUNTY,302 - ELON,06,Congressional,0,0,1307,0,1307,2846,53,2899
2020,general,AMHERST COUNTY,303 - PLEASANT VIEW,06,Congressional,0,0,383,0,383,709,16,725
2020,general,AMHERST COUNTY,401 - AMELON,06,Congressional,0,0,1281,0,1281,3360,77,3437
2020,general,AMHERST COUNTY,402 - LONCO,06,Congressional,0,0,370,0,370,997,33,1030
2020,general,AMHERST COUNTY,501 - MADISON,06,Congressional,0,0,1342,0,1342,3762,102,3864
2020,general,ARLINGTON COUNTY,##Central Absentee,00,Local,0,0,0,0,0,0,0,0
2020,general,ARLINGTON COUNTY,##Central Absentee,08,Congressional,39,104790,0,0,104829,0,0,0
2020,general,ARLINGTON COUNTY,001 - ARLINGTON,08,Congressional,18,0,570,1,588,2974,145,3119
2020,general,ARLINGTON COUNTY,002 - ASHTON HEIGHTS,08,Congressional,3,0,444,3,447,3527,208,3735
2020,general,ARLINGTON COUNTY,003 - AURORA HILLS,08,Congressional,4,0,178,1,182,1980,94,2074
2020,general,ARLINGTON COUNTY,004 - BALLSTON,08,Congressional,15,0,553,2,568,3580,224,3804
2020,general,ARLINGTON COUNTY,005 - BARCROFT,08,Congressional,15,0,492,0,507,2824,122,2946
2020,general,ARLINGTON COUNTY,006 - CRYSTAL CITY,08,Congressional,10,0,316,1,326,2804,466,3269
2020,general,ARLINGTON COUNTY,007 - CHERRYDALE,08,Congressional,14,0,494,1,508,3234,145,3379
2020,general,ARLINGTON COUNTY,008 - HUME,08,Congressional,19,0,548,1,567,4216,378,4594
2020,general,ARLINGTON COUNTY,009 - COLUMBIA,08,Congressional,13,0,426,0,439,4151,281,4432
2020,general,ARLINGTON COUNTY,010 - WILSON,08,Congressional,15,0,516,0,531,4715,565,5279
2020,general,ARLINGTON COUNTY,011 - EAST FALLS CHURCH,08,Congressional,7,0,332,0,339,2202,83,2285
2020,general,ARLINGTON COUNTY,012 - FAIRLINGTON,08,Congressional,9,0,501,0,510,2806,111,2917
2020,general,ARLINGTON COUNTY,013 - GLEN CARLYN,08,Congressional,23,0,445,3,468,2237,79,2316
2020,general,ARLINGTON COUNTY,014 - CLARENDON,08,Congressional,4,0,334,0,338,2607,199,2806
2020,general,ARLINGTON COUNTY,015 - LYON PARK,08,Congressional,10,0,339,0,349,1886,97,1983
2020,general,ARLINGTON COUNTY,016 - LYON VILLAGE,08,Congressional,11,0,429,0,440,3451,250,3701
2020,general,ARLINGTON COUNTY,017 - OVERLEE KNOLLS,08,Congressional,4,0,435,1,439,3401,137,3538
2020,general,ARLINGTON COUNTY,018 - PARK LANE,08,Congressional,13,0,455,0,468,6101,629,6730
2020,general,ARLINGTON COUNTY,019 - ROSSLYN,08,Congressional,19,0,435,1,454,4454,642,5096
2020,general,ARLINGTON COUNTY,020 - THRIFTON,08,Congressional,5,0,318,1,323,3038,87,3125
2020,general,ARLINGTON COUNTY,021 - VIRGINIA HIGHLANDS,08,Congressional,9,0,151,1,160,1899,110,2009
2020,general,ARLINGTON COUNTY,022 - ABINGDON,08,Congressional,15,0,515,2,530,3145,220,3365
2020,general,ARLINGTON COUNTY,023 - WESTOVER,08,Congressional,0,0,518,0,518,2999,102,3101
2020,general,ARLINGTON COUNTY,024 - WOODLAWN,08,Congressional,13,0,451,0,464,4170,199,4369
2020,general,ARLINGTON COUNTY,025 - ARLINGTON FOREST,08,Congressional,27,0,465,2,492,2985,186,3171
2020,general,ARLINGTON COUNTY,026 - FILLMORE,08,Congressional,13,0,545,5,558,3972,323,4295
2020,general,ARLINGTON COUNTY,027 - JEFFERSON,08,Congressional,16,0,456,0,472,3218,132,3350
2020,general,ARLINGTON COUNTY,028 - WAKEFIELD,08,Congressional,26,0,632,2,658,4018,287,4305
2020,general,ARLINGTON COUNTY,029 - DOMINION HILLS,08,Congressional,2,0,415,1,417,2890,64,2954
2020,general,ARLINGTON COUNTY,030 - GLEBE,08,Congressional,14,0,558,8,572,3375,227,3602
2020,general,ARLINGTON COUNTY,031 - LEXINGTON,08,Congressional,6,0,432,2,438,3040,86,3126
2020,general,ARLINGTON COUNTY,032 - OAKRIDGE,08,Congressional,5,0,214,0,219,1419,101,1520
2020,general,ARLINGTON COUNTY,033 - ROCK SPRING,08,Congressional,7,0,418,0,425,3082,82,3164
2020,general,ARLINGTON COUNTY,034 - YORKTOWN,08,Congressional,12,0,357,1,369,2738,57,2795
2020,general,ARLINGTON COUNTY,035 - MADISON,08,Congressional,2,0,311,1,313,3338,100,3438
2020,general,ARLINGTON COUNTY,036 - MARSHALL,08,Congressional,8,0,445,0,453,3421,166,3587
