GeoName,LineCode,Description,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Colorado,1,Personal income (thousands of dollars),208738019,198800165,205372353,223153197,237141451,249281621,271307469,284233907,289580620,310754539,332942578
Colorado,2,Population (persons) 1/,4889730,4972195,5048281,5121771,5193721,5270482,5351218,5452107,5540921,5615902,5695564
Colorado,3,Per capita personal income (dollars) 2/,42689,39982,40682,43570,45659,47298,50700,52133,52262,55335,58456
Virginia,1,Personal income (thousands of dollars),355931394,349712085,365041354,387003902,405863910,403199068,421874511,442331375,450870212,468177329,492312666
Virginia,2,Population (persons) 1/,7833496,7925937,8023680,8100469,8185229,8253053,8312076,8362907,8410946,8465207,8517685
Virginia,3,Per capita personal income (dollars) 2/,45437,44122,45496,47775,49585,48855,50754,52892,53605,55306,57799
Wisconsin,1,Personal income (thousands of dollars),219492838,215830801,221909662,234910041,246150786,247744896,258489368,268947729,274504689,285487389,299932678
Wisconsin,2,Population (persons) 1/,5640996,5669264,5690479,5704755,5719855,5736952,5751974,5761406,5772958,5792051,5813568
Wisconsin,3,Per capita personal income (dollars) 2/,38910,38070,38997,41178,43034,43184,44939,46681,47550,49290,51592
"Adams, CO*",1,Personal income (thousands of dollars),13495715,13426095,13645366,14647606,15620755,16362049,17667966,18819758,19664862,20767530,22171317
"Adams, CO*",2,Population (persons) 1/,424913,435700,443698,452203,460648,470145,480263,490768,498249,504428,511868
"Adams, CO*",3,Per capita personal income (dollars) 2/,31761,30815,30754,32392,33910,34802,36788,38348,39468,41170,43315
"Alamosa, CO",1,Personal income (thousands of dollars),442964,448195,451726,483014,488882,496815,522619,566198,571068,586242,623132
"Alamosa, CO",2,Population (persons) 1/,15300,15289,15932,16122,16095,16203,16220,16314,16461,16543,16683
"Alamosa, CO",3,Per capita personal income (dollars) 2/,28952,29315,28353,29960,30375,30662,32221,34706,34692,35437,37351
"Arapahoe, CO",1,Personal income (thousands of dollars),24088329,22394970,23553416,27412896,28887845,30223271,32942587,34279987,35121849,36579457,39190019
"Arapahoe, CO",2,Population (persons) 1/,552461,563161,574762,585844,596343,608209,618798,630637,638571,644132,651215
"Arapahoe, CO",3,Per capita personal income (dollars) 2/,43602,39767,40979,46792,48442,49692,53236,54358,55001,56789,60180
"Archuleta, CO",1,Personal income (thousands of dollars),384688,360576,366632,386471,406052,418375,462777,488963,513334,542712,577404
"Archuleta, CO",2,Population (persons) 1/,12250,12169,12046,12022,12133,12218,12233,12393,12832,13317,13765
"Archuleta, CO",3,Per capita personal income (dollars) 2/,31403,29631,30436,32147,33467,34243,37830,39455,40004,40753,41947
"Baca, CO",1,Personal income (thousands of dollars),126259,142995,149011,165410,139938,155307,141430,130573,132865,146244,146870
"Baca, CO",2,Population (persons) 1/,3806,3767,3807,3777,3722,3656,3587,3553,3528,3563,3585
"Baca, CO",3,Per capita personal income (dollars) 2/,33174,37960,39141,43794,37598,42480,39428,36750,37660,41045,40968
"Bent, CO",1,Personal income (thousands of dollars),140925,143704,142303,146192,141854,143334,148281,162871,160019,154409,162188
"Bent, CO",2,Population (persons) 1/,5962,6425,6500,6339,5827,5746,5784,5879,5645,5857,5882
"Bent, CO",3,Per capita personal income (dollars) 2/,23637,22366,21893,23062,24344,24945,25636,27704,28347,26363,27574
"Boulder, CO*",1,Personal income (thousands of dollars),15157809,13762807,14889031,15690492,16746365,17540263,18912880,20412287,20923799,22457556,23932182
"Boulder, CO*",2,Population (persons) 1/,290859,293190,295774,300897,305565,310247,313298,319175,322527,324073,326078
"Boulder, CO*",3,Per capita personal income (dollars) 2/,52114,46942,50339,52146,54805,56536,60367,63953,64875,69298,73394
"Broomfield, CO*",1,Personal income (thousands of dollars),3343595,3139879,3045053,3237400,3447874,3310277,3560058,3806913,4015243,4310231,4600020
"Broomfield, CO*",2,Population (persons) 1/,53181,54789,56221,57482,58963,60149,61769,64856,66474,68232,69267
"Broomfield, CO*",3,Per capita personal income (dollars) 2/,62872,57309,54162,56320,58475,55035,57635,58698,60403,63170,66410
"Chaffee, CO",1,Personal income (thousands of dollars),535666,546678,552133,587203,620603,652737,719118,765222,809743,871318,941237
"Chaffee, CO",2,Population (persons) 1/,17573,17852,17808,18030,18153,18358,18453,18600,19089,19651,20027
"Chaffee, CO",3,Per capita personal income (dollars) 2/,30482,30623,31005,32568,34187,35556,38970,41141,42419,44340,46998
"Cheyenne, CO",1,Personal income (thousands of dollars),76892,88530,99621,108547,97927,104252,97086,95816,92059,105350,106368
"Cheyenne, CO",2,Population (persons) 1/,1881,1843,1833,1862,1872,1878,1846,1827,1849,1860,1876
"Cheyenne, CO",3,Per capita personal income (dollars) 2/,40878,48036,54349,58296,52311,55512,52593,52444,49789,56640,56699
"Clear Creek, CO",1,Personal income (thousands of dollars),423468,404541,399753,419259,434345,452695,475077,517171,526476,554932,588788
"Clear Creek, CO",2,Population (persons) 1/,9138,8994,9073,9001,9008,9013,9114,9237,9356,9582,9605
"Clear Creek, CO",3,Per capita personal income (dollars) 2/,46341,44979,44060,46579,48218,50227,52126,55989,56271,57914,61300
"Conejos, CO",1,Personal income (thousands of dollars),192252,202038,204341,221067,225624,238613,244388,272265,271436,280658,302531
"Conejos, CO",2,Population (persons) 1/,8200,8140,8312,8289,8249,8200,8233,8069,8057,8153,8200
"Conejos, CO",3,Per capita personal income (dollars) 2/,23445,24820,24584,26670,27352,29099,29684,33742,33689,34424,36894
"Costilla, CO",1,Personal income (thousands of dollars),84040,90016,88629,100018,97837,102246,105789,117160,118441,123895,131231
"Costilla, CO",2,Population (persons) 1/,3532,3481,3529,3642,3605,3543,3564,3577,3696,3772,3828
"Costilla, CO",3,Per capita personal income (dollars) 2/,23794,25859,25114,27462,27139,28859,29683,32754,32046,32846,34282
"Crowley, CO",1,Personal income (thousands of dollars),103866,96227,95697,95383,98175,98465,103566,125490,118369,111685,112126
"Crowley, CO",2,Population (persons) 1/,5947,5797,5861,5882,5460,5346,5609,5622,5261,5798,5858
"Crowley, CO",3,Per capita personal income (dollars) 2/,17465,16599,16328,16216,17981,18418,18464,22321,22499,19263,19141
"Custer, CO",1,Personal income (thousands of dollars),133637,138039,132820,145008,142716,158805,174281,187624,184143,193012,206490
"Custer, CO",2,Population (persons) 1/,4107,4190,4283,4228,4222,4265,4344,4438,4593,4873,4954
"Custer, CO",3,Per capita personal income (dollars) 2/,32539,32945,31011,34297,33803,37234,40120,42277,40092,39608,41681
"Delta, CO",1,Personal income (thousands of dollars),893234,860321,885382,954076,958930,971813,995112,1015483,1017245,1110726,1202670
"Delta, CO",2,Population (persons) 1/,30712,31156,30859,30390,30466,30339,29965,29919,30356,30537,30953
"Delta, CO",3,Per capita personal income (dollars) 2/,29084,27613,28691,31394,31475,32032,33209,33941,33511,36373,38855
"Denver, CO",1,Personal income (thousands of dollars),31381947,27757691,29588942,33654891,36773412,40088405,45241834,45728452,44522399,52481871,57211387
"Denver, CO",2,Population (persons) 1/,575721,589011,603354,620513,635277,649513,664870,683665,696618,705439,716492
"Denver, CO",3,Per capita personal income (dollars) 2/,54509,47126,49041,54237,57886,61721,68046,66887,63912,74396,79849
"Dolores, CO",1,Personal income (thousands of dollars),46767,49563,51082,60540,61252,64855,65452,70139,65290,68862,72456
"Dolores, CO",2,Population (persons) 1/,2061,2057,2069,2044,2009,2033,1977,1981,2056,2053,2074
"Dolores, CO",3,Per capita personal income (dollars) 2/,22691,24095,24689,29618,30489,31901,33107,35406,31756,33542,34935
"Douglas, CO",1,Personal income (thousands of dollars),15502471,15484854,15418328,16587329,18105971,19140200,20780532,21742449,22482320,23506657,25249718
"Douglas, CO",2,Population (persons) 1/,275500,281386,286977,292513,298698,306232,314574,321964,328088,335668,342776
"Douglas, CO",3,Per capita personal income (dollars) 2/,56270,55031,53727,56706,60616,62502,66059,67531,68525,70029,73662
"Eagle, CO",1,Personal income (thousands of dollars),2893881,2530602,2319404,2415413,2528424,2920389,3244544,3570057,3709922,4020667,4297802
"Eagle, CO",2,Population (persons) 1/,51049,52513,52104,52072,52366,52857,53323,53896,54579,54992,54993
"Eagle, CO",3,Per capita personal income (dollars) 2/,56688,48190,44515,46386,48284,55251,60847,66240,67973,73114,78152
"Elbert, CO",1,Personal income (thousands of dollars),960214,966731,911096,1119397,1031357,1110310,1178039,1258881,1329227,1405744,1506851
"Elbert, CO",2,Population (persons) 1/,22634,22965,23143,23176,23273,23541,24033,24621,25138,25735,26282
"Elbert, CO",3,Per capita personal income (dollars) 2/,42424,42096,39368,48300,44316,47165,49018,51130,52877,54624,57334
"El Paso, CO",1,Personal income (thousands of dollars),22540738,22841091,23983922,25565462,26607413,27010640,28650529,30108460,30893149,32721960,34598539
"El Paso, CO",2,Population (persons) 1/,597919,608061,626904,637120,645879,655320,663266,674156,688687,700800,713856
"El Paso, CO",3,Per capita personal income (dollars) 2/,37699,37564,38258,40127,41196,41217,43196,44661,44858,46692,48467
"Fremont, CO",1,Personal income (thousands of dollars),1175429,1183081,1210175,1266840,1302009,1329984,1396984,1481374,1534820,1597582,1701631
"Fremont, CO",2,Population (persons) 1/,47166,46871,46835,47379,47060,46310,46133,46267,46982,47607,48021
"Fremont, CO",3,Per capita personal income (dollars) 2/,24921,25241,25839,26738,27667,28719,30282,32018,32668,33558,35435
"Garfield, CO",1,Personal income (thousands of dollars),2485003,2338351,2096104,2260110,2384023,2567647,2880895,3234773,3140881,3306264,3565485
"Garfield, CO",2,Population (persons) 1/,55449,57089,56092,56065,56788,56971,57201,57760,58847,59113,59770
"Garfield, CO",3,Per capita personal income (dollars) 2/,44816,40960,37369,40312,41981,45069,50364,56004,53374,55931,59653
"Gilpin, CO",1,Personal income (thousands of dollars),204470,198112,195089,193698,194808,226677,239233,253647,265122,276145,294591
"Gilpin, CO",2,Population (persons) 1/,5026,5352,5475,5431,5434,5534,5751,5807,5914,6026,6121
"Gilpin, CO",3,Per capita personal income (dollars) 2/,40682,37016,35633,35665,35850,40961,41599,43680,44830,45826,48128
"Grand, CO",1,Personal income (thousands of dollars),481248,455205,453905,477784,507874,552830,602108,645819,669140,718928,773836
"Grand, CO",2,Population (persons) 1/,14622,14902,14796,14562,14220,14311,14559,14721,15170,15356,15525
"Grand, CO",3,Per capita personal income (dollars) 2/,32913,30547,30678,32810,35715,38630,41356,43871,44109,46817,49845
"Gunnison, CO",1,Personal income (thousands of dollars),545707,525582,517559,543876,561747,589114,640481,676858,712983,756408,813135
"Gunnison, CO",2,Population (persons) 1/,15250,15356,15355,15322,15436,15653,15842,16178,16489,16931,17246
"Gunnison, CO",3,Per capita personal income (dollars) 2/,35784,34226,33706,35496,36392,37636,40429,41838,43240,44676,47149
"Hinsdale, CO",1,Personal income (thousands of dollars),25454,27016,29185,31269,32753,32182,33947,35273,37156,39460,41116
"Hinsdale, CO",2,Population (persons) 1/,818,834,844,825,802,804,773,764,788,791,811
"Hinsdale, CO",3,Per capita personal income (dollars) 2/,31117,32393,34579,37902,40839,40027,43916,46169,47152,49886,50698
"Huerfano, CO",1,Personal income (thousands of dollars),200626,202743,202524,209581,219473,223378,233654,247838,263200,271539,292503
"Huerfano, CO",2,Population (persons) 1/,7073,6824,6680,6527,6565,6463,6396,6407,6579,6645,6889
"Huerfano, CO",3,Per capita personal income (dollars) 2/,28365,29710,30318,32110,33431,34563,36531,38682,40006,40864,42459
"Jackson, CO",1,Personal income (thousands of dollars),46566,48835,51048,54009,47192,51230,56592,61180,59670,62312,69562
"Jackson, CO",2,Population (persons) 1/,1378,1408,1389,1357,1325,1336,1385,1352,1357,1379,1399
"Jackson, CO",3,Per capita personal income (dollars) 2/,33792,34684,36752,39800,35617,38346,40861,45251,43972,45186,49723
"Jefferson, CO*",1,Personal income (thousands of dollars),24732428,23672355,24261539,25598862,26964430,28345387,30505171,32173139,33097572,34667371,36865409
"Jefferson, CO*",2,Population (persons) 1/,529003,531961,535833,540755,546764,552254,559085,565223,571779,575817,580233
"Jefferson, CO*",3,Per capita personal income (dollars) 2/,46753,44500,45278,47339,49316,51327,54563,56921,57885,60206,63536
"Kiowa, CO",1,Personal income (thousands of dollars),51855,55223,62617,72401,74912,80289,71835,70626,68415,71214,69312
"Kiowa, CO",2,Population (persons) 1/,1392,1378,1404,1431,1409,1392,1380,1384,1342,1367,1383
"Kiowa, CO",3,Per capita personal income (dollars) 2/,37252,40075,44599,50595,53167,57679,52054,51030,50980,52095,50117
"Kit Carson, CO",1,Personal income (thousands of dollars),259705,259040,289389,295004,295467,285492,281087,273582,268935,270968,266997
"Kit Carson, CO",2,Population (persons) 1/,8157,8383,8263,8170,8074,8247,8020,8215,7625,7152,7163
"Kit Carson, CO",3,Per capita personal income (dollars) 2/,31838,30901,35022,36108,36595,34618,35048,33303,35270,37887,37274
"Lake, CO",1,Personal income (thousands of dollars),212723,197305,193251,202274,211543,220135,232691,246471,252831,269814,290316
"Lake, CO",2,Population (persons) 1/,7450,7426,7264,7342,7253,7265,7320,7442,7584,7753,7824
"Lake, CO",3,Per capita personal income (dollars) 2/,28553,26569,26604,27550,29166,30301,31788,33119,33337,34801,37106
"La Plata, CO",1,Personal income (thousands of dollars),2222038,2113335,2136092,2245325,2478850,2910010,3157546,2997974,2896201,2945090,3142489
"La Plata, CO",2,Population (persons) 1/,50291,51105,51343,51794,52369,53287,53788,54609,55258,55541,56310
"La Plata, CO",3,Per capita personal income (dollars) 2/,44184,41353,41604,43351,47334,54610,58704,54899,52412,53026,55807
"Larimer, CO",1,Personal income (thousands of dollars),11138411,10939308,11252959,11936687,12720373,13460042,14636428,15646663,16344762,17714530,18993920
"Larimer, CO",2,Population (persons) 1/,291650,296696,300450,305237,310856,316258,324061,333309,338926,343993,350518
"Larimer, CO",3,Per capita personal income (dollars) 2/,38191,36870,37454,39106,40920,42560,45166,46943,48225,51497,54188
"Las Animas, CO",1,Personal income (thousands of dollars),464902,442617,443378,461714,481017,498166,519809,516244,530131,544581,591211
