HINDI,County,Municipality,Total Electors 2012,Voting Age Estimate 2012,Voter Turnout 2012,Total Electors 2016,Voting Age Estimate 2016,Voter Turnout 2016
01201,ADAMS COUNTY,CITY OF ADAMS,806,"1,484",54.31%,755,"1,491",50.64%
01291,ADAMS COUNTY,CITY OF WISCONSIN DELLS,15,50,30.00%,22,50,44.00%
01002,ADAMS COUNTY,TOWN OF ADAMS,640,"1,094",58.50%,618,"1,114",55.48%
01004,ADAMS COUNTY,TOWN OF BIG FLATS,499,865,57.69%,490,882,55.56%
01006,ADAMS COUNTY,TOWN OF COLBURN,118,208,56.73%,130,214,60.75%
01008,ADAMS COUNTY,TOWN OF DELL PRAIRIE,851,"1,278",66.59%,826,"1,303",63.39%
01010,ADAMS COUNTY,TOWN OF EASTON,513,893,57.45%,519,884,58.71%
01012,ADAMS COUNTY,TOWN OF JACKSON,572,870,65.75%,562,880,63.86%
01014,ADAMS COUNTY,TOWN OF LEOLA,154,256,60.16%,138,257,53.70%
01016,ADAMS COUNTY,TOWN OF LINCOLN,168,247,68.02%,181,252,71.83%
01018,ADAMS COUNTY,TOWN OF MONROE,263,374,70.32%,237,374,63.37%
01020,ADAMS COUNTY,TOWN OF NEW CHESTER,430,"1,992",21.59%,401,"1,856",21.61%
01022,ADAMS COUNTY,TOWN OF NEW HAVEN,372,523,71.13%,340,526,64.64%
01024,ADAMS COUNTY,TOWN OF PRESTON,694,"1,161",59.78%,694,"1,173",59.16%
01026,ADAMS COUNTY,TOWN OF QUINCY,666,"1,024",65.04%,652,"1,034",63.06%
01028,ADAMS COUNTY,TOWN OF RICHFIELD,88,136,64.71%,86,136,63.24%
01030,ADAMS COUNTY,TOWN OF ROME,"1,864","2,396",77.80%,"1,961","2,429",80.73%
01032,ADAMS COUNTY,TOWN OF SPRINGVILLE,619,"1,064",58.18%,657,"1,069",61.46%
01034,ADAMS COUNTY,TOWN OF STRONGS PRAIRIE,623,970,64.23%,610,981,62.18%
01126,ADAMS COUNTY,VILLAGE OF FRIENDSHIP,300,575,52.17%,285,596,47.82%
02201,ASHLAND COUNTY,CITY OF ASHLAND,"4,095","6,454",63.45%,"4,025","6,420",62.69%
02251,ASHLAND COUNTY,CITY OF MELLEN,349,573,60.91%,296,575,51.48%
02002,ASHLAND COUNTY,TOWN OF AGENDA,244,339,71.98%,227,343,66.18%
02004,ASHLAND COUNTY,TOWN OF ASHLAND,330,445,74.16%,312,450,69.33%
02006,ASHLAND COUNTY,TOWN OF CHIPPEWA,225,294,76.53%,211,292,72.26%
