state,county,year,active_voters,turnout
Wisconsin,adams county,2012,17460,0.5873424971363116
Wisconsin,adams county,2016,17501,0.5807668133249528
Wisconsin,ashland county,2012,12390,0.6808716707021791
Wisconsin,ashland county,2016,12397,0.6476566911349521
Wisconsin,barron county,2012,35917,0.6351031544950859
Wisconsin,barron county,2016,36488,0.6205601841701381
Wisconsin,bayfield county,2012,12244,0.8028422084286181
Wisconsin,bayfield county,2016,12438,0.7661199549766844
Wisconsin,brown county,2012,188653,0.690378631667665
Wisconsin,brown county,2016,195473,0.6598302578872786
Wisconsin,buffalo county,2012,10663,0.6458782706555378
Wisconsin,buffalo county,2016,10566,0.6613666477380277
Wisconsin,burnett county,2012,12428,0.702124235597039
Wisconsin,burnett county,2016,12582,0.6948815768558257
Wisconsin,calumet county,2012,36023,0.7354467978791328
Wisconsin,calumet county,2016,37733,0.706278324013463
Wisconsin,chippewa county,2012,48183,0.644335138949422
Wisconsin,chippewa county,2016,49531,0.6371969069875432
Wisconsin,clark county,2012,24709,0.5612529847424016
Wisconsin,clark county,2016,24991,0.5440358529070466
Wisconsin,columbia county,2012,43754,0.6994331946793436
Wisconsin,columbia county,2016,44204,0.673491086779477
Wisconsin,crawford county,2012,12969,0.6060606060606061
Wisconsin,crawford county,2016,13136,0.5895249695493301
Wisconsin,dane county,2012,386328,0.7931291545008387
Wisconsin,dane county,2016,409930,0.7562681433415461
Wisconsin,dodge county,2012,69389,0.6419749528023174
Wisconsin,dodge county,2016,70851,0.6120591099631622
Wisconsin,door county,2012,22877,0.7737465576780173
Wisconsin,door county,2016,23236,0.7577896367705285
Wisconsin,douglas county,2012,34867,0.5950899130983451
Wisconsin,douglas county,2016,35260,0.6384288145207033
Wisconsin,dunn county,2012,34924,0.6317718474401558
Wisconsin,dunn county,2016,35717,0.6185009939244618
Wisconsin,eau claire county,2012,78613,0.7006474756083599
Wisconsin,eau claire county,2016,81057,0.6771161034827343
Wisconsin,florence county,2012,3611,0.7302686236499585
Wisconsin,florence county,2016,3729,0.7125234647358542
Wisconsin,fond du lac county,2012,79207,0.6777557539106392
Wisconsin,fond du lac county,2016,80753,0.6356048691689473
Wisconsin,forest county,2012,7209,0.6486336523789707
Wisconsin,forest county,2016,7318,0.6203880841760043
Wisconsin,grant county,2012,40688,0.5999557609123083
Wisconsin,grant county,2016,44625,0.5450084033613445
Wisconsin,green county,2012,28021,0.7032582705827772
Wisconsin,green county,2016,28229,0.6725353360019838
Wisconsin,green lake county,2012,14770,0.6600541638456331
Wisconsin,green lake county,2016,14891,0.6304479215633604
Wisconsin,iowa county,2012,17905,0.7028762915386764
Wisconsin,iowa county,2016,18097,0.6774603525446207
Wisconsin,iron county,2012,4895,0.760367722165475
Wisconsin,iron county,2016,4980,0.7022088353413655
Wisconsin,jackson county,2012,15941,0.5871024402484161
Wisconsin,jackson county,2016,16212,0.5719220330619295
Wisconsin,jefferson county,2012,64222,0.6943415029117748
Wisconsin,jefferson county,2016,64886,0.6649508368523256
Wisconsin,juneau county,2012,21250,0.5572705882352941
Wisconsin,juneau county,2016,21504,0.5455729166666666
Wisconsin,kenosha county,2012,124410,0.6527771079495217
Wisconsin,kenosha county,2016,125839,0.6124969206684732
Wisconsin,kewaunee county,2012,15836,0.7028921444809295
Wisconsin,kewaunee county,2016,15998,0.6724590573821728
Wisconsin,la crosse county,2012,91283,0.7023103973357581
Wisconsin,la crosse county,2016,93756,0.6716156832629379
Wisconsin,lafayette county,2012,12584,0.635807374443738
Wisconsin,lafayette county,2016,12707,0.6029747383332021
Wisconsin,langlade county,2012,15757,0.6730342070191027
Wisconsin,langlade county,2016,15947,0.635354612152756
Wisconsin,lincoln county,2012,22610,0.67443609022556394
Wisconsin,lincoln county,2016,22712,0.6474991194082423
Wisconsin,manitowoc county,2012,63499,0.680372919258571
Wisconsin,manitowoc county,2016,63869,0.6316992594216286
Wisconsin,marathon county,2012,101972,0.687698583924999
Wisconsin,marathon county,2016,102994,0.6480571683787405
Wisconsin,marinette county,2012,33294,0.6278008049498408
Wisconsin,marinette county,2016,33229,0.6032682295585181
Wisconsin,marquette county,2012,12365,0.6591993530125354
Wisconsin,marquette county,2016,12467,0.633111414133312
Wisconsin,menominee county,2012,2853,0.48615492464072907
Wisconsin,menominee county,2016,2900,0.44103448275862067
Wisconsin,milwaukee county,2012,714853,0.6914428560836984
Wisconsin,milwaukee county,2016,719817,0.6094562923631979
Wisconsin,monroe county,2012,33429,0.5881420323671064
Wisconsin,monroe county,2016,34257,0.5741892168024053
Wisconsin,oconto county,2012,29484,0.6831501831501832
Wisconsin,oconto county,2016,29950,0.6670450751252087
Wisconsin,oneida county,2012,29536,0.7377776273022751
Wisconsin,oneida county,2016,29849,0.7193875841736742
Wisconsin,outagamie county,2012,133930,0.7096468304338087
Wisconsin,outagamie county,2016,137950,0.6804494382022472
Wisconsin,ozaukee county,2012,66489,0.8383492006196513
Wisconsin,ozaukee county,2016,67870,0.8033446294386327
Wisconsin,pepin county,2012,5788,0.6428818244644091
Wisconsin,pepin county,2016,5783,0.6465502334428498
Wisconsin,pierce county,2012,32065,0.6595665055356308
Wisconsin,pierce county,2016,32434,0.6533267558734661
Wisconsin,polk county,2012,33876,0.6688215846026686
Wisconsin,polk county,2016,34085,0.6674196860789203
Wisconsin,portage county,2012,56338,0.7021193510596755
Wisconsin,portage county,2016,56733,0.6785468774787161
Wisconsin,price county,2012,11425,0.6957549234135667
Wisconsin,price county,2016,11522,0.6576115257767748
Wisconsin,racine county,2012,147515,0.7150391485611632
Wisconsin,racine county,2016,148399,0.6343236814264247
Wisconsin,richland county,2012,13894,0.6855477184396143
Wisconsin,richland county,2016,13912,0.5789965497412306
Wisconsin,rock county,2012,120510,0.6763837025972949
Wisconsin,rock county,2016,121082,0.6282354107134008
Wisconsin,rusk county,2012,11490,0.6305483028720626
Wisconsin,rusk county,2016,11582,0.6118977724054567
Wisconsin,sauk county,2012,47428,0.6747490933625706
Wisconsin,sauk county,2016,47872,0.6542028743315508
Wisconsin,sawyer county,2012,13242,0.6829784020540703
Wisconsin,sawyer county,2016,13401,0.6806208491903589
Wisconsin,shawano county,2012,32504,0.6275227664287473
Wisconsin,shawano county,2016,32553,0.6067336343808558
Wisconsin,sheboygan county,2012,88346,0.71501822380187
Wisconsin,sheboygan county,2016,88509,0.6739992543131207
Wisconsin,st. croix county,2012,62099,0.7448590154430829
Wisconsin,st. croix county,2016,63975,0.7426025791324736
Wisconsin,taylor county,2012,15673,0.6108594398009315
Wisconsin,taylor county,2016,15804,0.6001012401923563
Wisconsin,trempealeau county,2012,22059,0.6146244163380026
Wisconsin,trempealeau county,2016,22506,0.6076157469119345
Wisconsin,vernon county,2012,22049,0.6533629643067713
Wisconsin,vernon county,2016,22373,0.6352746614222501
Wisconsin,vilas county,2012,17743,0.7826184974356084
Wisconsin,vilas county,2016,18003,0.7560962061878576
Wisconsin,walworth county,2012,78847,0.6643118951894175
Wisconsin,walworth county,2016,79819,0.6430047983562811
Wisconsin,washburn county,2012,12727,0.7329299913569577
Wisconsin,washburn county,2016,12828,0.713127533520424
Wisconsin,washington county,2012,100388,0.7873152169582022
Wisconsin,washington county,2016,102263,0.7627685477640984
Wisconsin,waukesha county,2012,298149,0.8093939607377519
Wisconsin,waukesha county,2016,304245,0.785689164982169
Wisconsin,waupaca county,2012,40691,0.6421813177361088
Wisconsin,waupaca county,2016,40901,0.6362680619055768
Wisconsin,waushara county,2012,19757,0.612795464898517
Wisconsin,waushara county,2016,19852,0.6044227281885957
Wisconsin,winnebago county,2012,131980,0.6741551750265191
Wisconsin,winnebago county,2016,133843,0.6058889893382545
Wisconsin,wood county,2012,57864,0.6734238905018665
Wisconsin,wood county,2016,58860,0.6422018348623854
